"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_LDS",0.00000000e+00,739032053953154,739032053959714
1,1,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VALU",105.000000,739032053953154,739032053959714
1,1,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_RD",1.000000,739032053953154,739032053959714
1,1,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_WR",1.000000,739032053953154,739032053959714
1,1,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,739032053953154,739032053959714
1,1,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,739032053953154,739032053959714
1,1,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAVES_sum",8.000000,739032053953154,739032053959714
1,1,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_RDREQ_32B_sum",0.00000000e+00,739032053953154,739032053959714
1,1,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_WRREQ_64B_sum",3.000000,739032053953154,739032053959714
1,1,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_HIT_sum",0.00000000e+00,739032053953154,739032053959714
1,1,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_MISS_sum",25.000000,739032053953154,739032053959714
2,2,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_LDS",0.00000000e+00,739032054113794,739032054117154
2,2,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VALU",105.000000,739032054113794,739032054117154
2,2,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_RD",1.000000,739032054113794,739032054117154
2,2,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_WR",1.000000,739032054113794,739032054117154
2,2,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,739032054113794,739032054117154
2,2,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,739032054113794,739032054117154
2,2,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAVES_sum",8.000000,739032054113794,739032054117154
2,2,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_RDREQ_32B_sum",0.00000000e+00,739032054113794,739032054117154
2,2,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_WRREQ_64B_sum",0.00000000e+00,739032054113794,739032054117154
2,2,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_HIT_sum",0.00000000e+00,739032054113794,739032054117154
2,2,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_MISS_sum",17.000000,739032054113794,739032054117154
3,3,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_LDS",0.00000000e+00,739032054757954,739032054762914
3,3,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VALU",105.000000,739032054757954,739032054762914
3,3,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_RD",1.000000,739032054757954,739032054762914
3,3,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_WR",1.000000,739032054757954,739032054762914
3,3,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,739032054757954,739032054762914
3,3,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,739032054757954,739032054762914
3,3,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAVES_sum",8.000000,739032054757954,739032054762914
3,3,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_RDREQ_32B_sum",0.00000000e+00,739032054757954,739032054762914
3,3,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_WRREQ_64B_sum",8.000000,739032054757954,739032054762914
3,3,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_HIT_sum",0.00000000e+00,739032054757954,739032054762914
3,3,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_MISS_sum",29.000000,739032054757954,739032054762914
4,4,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_LDS",0.00000000e+00,739032101654491,739032101659611
4,4,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VALU",105.000000,739032101654491,739032101659611
4,4,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_RD",1.000000,739032101654491,739032101659611
4,4,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_WR",1.000000,739032101654491,739032101659611
4,4,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,739032101654491,739032101659611
4,4,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,739032101654491,739032101659611
4,4,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAVES_sum",8.000000,739032101654491,739032101659611
4,4,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_RDREQ_32B_sum",0.00000000e+00,739032101654491,739032101659611
4,4,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_WRREQ_64B_sum",3.000000,739032101654491,739032101659611
4,4,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_HIT_sum",0.00000000e+00,739032101654491,739032101659611
4,4,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_MISS_sum",19.000000,739032101654491,739032101659611
5,5,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_LDS",0.00000000e+00,739032101730971,739032101734651
5,5,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VALU",105.000000,739032101730971,739032101734651
5,5,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_RD",1.000000,739032101730971,739032101734651
5,5,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_WR",1.000000,739032101730971,739032101734651
5,5,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,739032101730971,739032101734651
5,5,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,739032101730971,739032101734651
5,5,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAVES_sum",8.000000,739032101730971,739032101734651
5,5,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_RDREQ_32B_sum",0.00000000e+00,739032101730971,739032101734651
5,5,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_WRREQ_64B_sum",0.00000000e+00,739032101730971,739032101734651
5,5,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_HIT_sum",0.00000000e+00,739032101730971,739032101734651
5,5,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_MISS_sum",17.000000,739032101730971,739032101734651
6,6,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_LDS",0.00000000e+00,739032102374972,739032102380092
6,6,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VALU",105.000000,739032102374972,739032102380092
6,6,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_RD",1.000000,739032102374972,739032102380092
6,6,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_WR",1.000000,739032102374972,739032102380092
6,6,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,739032102374972,739032102380092
6,6,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,739032102374972,739032102380092
6,6,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAVES_sum",8.000000,739032102374972,739032102380092
6,6,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_RDREQ_32B_sum",0.00000000e+00,739032102374972,739032102380092
6,6,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_WRREQ_64B_sum",8.000000,739032102374972,739032102380092
6,6,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_HIT_sum",0.00000000e+00,739032102374972,739032102380092
6,6,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_MISS_sum",29.000000,739032102374972,739032102380092
7,7,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_LDS",0.00000000e+00,739032146492039,739032146496999
7,7,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VALU",105.000000,739032146492039,739032146496999
7,7,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_RD",1.000000,739032146492039,739032146496999
7,7,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_WR",1.000000,739032146492039,739032146496999
7,7,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,739032146492039,739032146496999
7,7,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,739032146492039,739032146496999
7,7,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAVES_sum",8.000000,739032146492039,739032146496999
7,7,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_RDREQ_32B_sum",0.00000000e+00,739032146492039,739032146496999
7,7,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_WRREQ_64B_sum",3.000000,739032146492039,739032146496999
7,7,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_HIT_sum",0.00000000e+00,739032146492039,739032146496999
7,7,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_MISS_sum",19.000000,739032146492039,739032146496999
8,8,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_LDS",0.00000000e+00,739032146568359,739032146572039
8,8,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VALU",105.000000,739032146568359,739032146572039
8,8,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_RD",1.000000,739032146568359,739032146572039
8,8,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_WR",1.000000,739032146568359,739032146572039
8,8,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,739032146568359,739032146572039
8,8,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,739032146568359,739032146572039
8,8,"Agent 1",1,716980,716980,512,5,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAVES_sum",8.000000,739032146568359,739032146572039
