"Correlation_Id","Dispatch_Id","Agent_Id","Queue_Id","Process_Id","Thread_Id","Grid_Size","Kernel_Id","Kernel_Name","Workgroup_Size","LDS_Block_Size","Scratch_Size","VGPR_Count","Accum_VGPR_Count","SGPR_Count","Counter_Name","Counter_Value","Start_Timestamp","End_Timestamp"
1,1,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_LDS",0.00000000e+00,613688720526017,613688720531457
1,1,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VALU",105.000000,613688720526017,613688720531457
1,1,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_RD",1.000000,613688720526017,613688720531457
1,1,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_WR",1.000000,613688720526017,613688720531457
1,1,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,613688720526017,613688720531457
1,1,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,613688720526017,613688720531457
1,1,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAVES_sum",8.000000,613688720526017,613688720531457
1,1,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_RDREQ_32B_sum",0.00000000e+00,613688720526017,613688720531457
1,1,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_WRREQ_64B_sum",3.000000,613688720526017,613688720531457
1,1,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_HIT_sum",0.00000000e+00,613688720526017,613688720531457
1,1,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_MISS_sum",24.000000,613688720526017,613688720531457
2,2,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_LDS",0.00000000e+00,613688720685217,613688720688897
2,2,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VALU",105.000000,613688720685217,613688720688897
2,2,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_RD",1.000000,613688720685217,613688720688897
2,2,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_WR",1.000000,613688720685217,613688720688897
2,2,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,613688720685217,613688720688897
2,2,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,613688720685217,613688720688897
2,2,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAVES_sum",8.000000,613688720685217,613688720688897
2,2,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_RDREQ_32B_sum",0.00000000e+00,613688720685217,613688720688897
2,2,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_WRREQ_64B_sum",0.00000000e+00,613688720685217,613688720688897
2,2,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_HIT_sum",0.00000000e+00,613688720685217,613688720688897
2,2,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_MISS_sum",17.000000,613688720685217,613688720688897
3,3,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_LDS",0.00000000e+00,613688721381698,613688721387458
3,3,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VALU",105.000000,613688721381698,613688721387458
3,3,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_RD",1.000000,613688721381698,613688721387458
3,3,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_WR",1.000000,613688721381698,613688721387458
3,3,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,613688721381698,613688721387458
3,3,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,613688721381698,613688721387458
3,3,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAVES_sum",8.000000,613688721381698,613688721387458
3,3,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_RDREQ_32B_sum",0.00000000e+00,613688721381698,613688721387458
3,3,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_WRREQ_64B_sum",8.000000,613688721381698,613688721387458
3,3,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_HIT_sum",0.00000000e+00,613688721381698,613688721387458
3,3,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_MISS_sum",29.000000,613688721381698,613688721387458
4,4,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_LDS",0.00000000e+00,613688765311994,613688765316954
4,4,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VALU",105.000000,613688765311994,613688765316954
4,4,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_RD",1.000000,613688765311994,613688765316954
4,4,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_WR",1.000000,613688765311994,613688765316954
4,4,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,613688765311994,613688765316954
4,4,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,613688765311994,613688765316954
4,4,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAVES_sum",8.000000,613688765311994,613688765316954
4,4,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_RDREQ_32B_sum",0.00000000e+00,613688765311994,613688765316954
4,4,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_WRREQ_64B_sum",3.000000,613688765311994,613688765316954
4,4,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_HIT_sum",0.00000000e+00,613688765311994,613688765316954
4,4,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_MISS_sum",19.000000,613688765311994,613688765316954
5,5,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_LDS",0.00000000e+00,613688765387834,613688765391514
5,5,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VALU",105.000000,613688765387834,613688765391514
5,5,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_RD",1.000000,613688765387834,613688765391514
5,5,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_WR",1.000000,613688765387834,613688765391514
5,5,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,613688765387834,613688765391514
5,5,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,613688765387834,613688765391514
5,5,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAVES_sum",8.000000,613688765387834,613688765391514
5,5,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_RDREQ_32B_sum",0.00000000e+00,613688765387834,613688765391514
5,5,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_WRREQ_64B_sum",0.00000000e+00,613688765387834,613688765391514
5,5,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_HIT_sum",0.00000000e+00,613688765387834,613688765391514
5,5,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_MISS_sum",17.000000,613688765387834,613688765391514
6,6,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_LDS",0.00000000e+00,613688766039835,613688766044475
6,6,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VALU",105.000000,613688766039835,613688766044475
6,6,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_RD",1.000000,613688766039835,613688766044475
6,6,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_INSTS_VMEM_WR",1.000000,613688766039835,613688766044475
6,6,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_LDS_BANK_CONFLICT",0.00000000e+00,613688766039835,613688766044475
6,6,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAIT_INST_LDS",0.00000000e+00,613688766039835,613688766044475
6,6,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"SQ_WAVES_sum",8.000000,613688766039835,613688766044475
6,6,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_RDREQ_32B_sum",0.00000000e+00,613688766039835,613688766044475
6,6,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_EA_WRREQ_64B_sum",8.000000,613688766039835,613688766044475
6,6,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_HIT_sum",0.00000000e+00,613688766039835,613688766044475
6,6,"Agent 1",1,280561,280561,512,8,"__amd_rocclr_copyBuffer",512,0,0,16,0,32,"TCC_MISS_sum",29.000000,613688766039835,613688766044475
